"snapshot_date","segment","total_pipeline_usd","commit_usd","best_case_usd","closed_won_usd","deal_count","avg_deal_size","pipeline_wow_change","pipeline_wow_pct"
"2024-09-01",Enterprise,5667100.0,1781500.0,3959500.0,652500.0,39,708400.0,,
"2024-09-08",Enterprise,5816600.0,2819600.0,4305300.0,1260400.0,41,581700.0,149500.0,2.6
"2024-09-15",Enterprise,6963000.0,3582100.0,4233600.0,1235600.0,24,331600.0,1146400.0,19.7
"2024-09-22",Enterprise,6025100.0,1960200.0,3906700.0,441900.0,40,354400.0,-937900.0,-13.5
"2024-09-29",Enterprise,5366000.0,2795100.0,3712400.0,651800.0,26,536600.0,-659100.0,-10.9
"2024-10-06",Enterprise,5562400.0,1818700.0,3082800.0,448600.0,40,695300.0,196400.0,3.7
"2024-10-13",Enterprise,5730000.0,2731000.0,4079700.0,1120700.0,40,301600.0,167600.0,3.0
"2024-10-20",Enterprise,5990400.0,2514800.0,3905600.0,988700.0,27,399400.0,260400.0,4.5
"2024-10-27",Enterprise,5986800.0,1963000.0,4093700.0,794800.0,16,206400.0,-3600.0,-0.1
"2024-11-03",Enterprise,7104200.0,2264200.0,4683900.0,685800.0,38,355200.0,1117400.0,18.7
"2024-11-10",Enterprise,6671800.0,2216600.0,3730100.0,819800.0,20,202200.0,-432400.0,-6.1
"2024-11-17",Enterprise,6307200.0,3028400.0,3795500.0,1380200.0,26,252300.0,-364600.0,-5.5
"2024-11-24",Enterprise,5512300.0,2625900.0,3637300.0,1094000.0,34,212000.0,-794900.0,-12.6
"2024-12-01",Enterprise,6898800.0,2450200.0,4165200.0,917600.0,33,405800.0,1386500.0,25.2
"2024-12-08",Enterprise,6654100.0,2308700.0,3850800.0,757100.0,37,201600.0,-244700.0,-3.5
"2024-12-15",Enterprise,7164900.0,2339900.0,4995600.0,705500.0,13,358200.0,510800.0,7.7
"2024-12-22",Enterprise,5357300.0,1907600.0,3189400.0,602100.0,30,206000.0,-1807600.0,-25.2
"2024-12-29",Enterprise,5691500.0,2462300.0,3812900.0,994300.0,17,210800.0,334200.0,6.2
"2025-01-05",Enterprise,5568900.0,2265800.0,3872300.0,551500.0,28,348100.0,-122600.0,-2.2
"2025-01-12",Enterprise,6706200.0,2895300.0,4730000.0,1283700.0,22,515900.0,1137300.0,20.4
"2025-01-19",Enterprise,5753300.0,2049000.0,4023800.0,481900.0,17,179800.0,-952900.0,-14.2
"2025-01-26",Enterprise,6242900.0,2091500.0,4092100.0,1013600.0,38,183600.0,489600.0,8.5
"2025-02-02",Enterprise,6303500.0,3008900.0,4001100.0,743300.0,13,153700.0,60600.0,1.0
"2025-02-09",Enterprise,6577200.0,2293300.0,3760000.0,512200.0,29,730800.0,273700.0,4.3
"2025-02-16",Enterprise,7138200.0,2156600.0,4435200.0,614000.0,33,178500.0,561000.0,8.5
"2025-02-23",Enterprise,5641400.0,2345600.0,4101500.0,534800.0,22,268600.0,-1496800.0,-21.0
"2025-03-02",Enterprise,5749700.0,2602300.0,3248600.0,639400.0,39,410700.0,108300.0,1.9
"2025-03-09",Enterprise,7204300.0,3535800.0,4599300.0,1687400.0,15,163700.0,1454600.0,25.3
"2025-03-16",Enterprise,6677500.0,2939400.0,3879100.0,680700.0,32,371000.0,-526800.0,-7.3
"2025-03-23",Enterprise,5976300.0,2266900.0,4478000.0,784100.0,38,398400.0,-701200.0,-10.5
"2025-03-30",Enterprise,5831400.0,2006200.0,3372600.0,566100.0,13,216000.0,-144900.0,-2.4
"2025-04-06",Enterprise,6025400.0,2851400.0,3782900.0,578800.0,20,502100.0,194000.0,3.3
"2025-04-13",Enterprise,6562600.0,2917700.0,3657300.0,1236300.0,20,193000.0,537200.0,8.9
"2025-04-20",Enterprise,6130600.0,2379000.0,4037000.0,849200.0,29,408700.0,-432000.0,-6.6
"2025-04-27",Enterprise,6293200.0,3070700.0,4628300.0,706000.0,36,157300.0,162600.0,2.7
"2025-05-04",Enterprise,6833400.0,2917100.0,4124100.0,1159800.0,27,201000.0,540200.0,8.6
"2024-09-01",Mid-Market,4373800.0,1654100.0,2484400.0,370300.0,23,336400.0,,
"2024-09-08",Mid-Market,4657000.0,2457600.0,3256100.0,1018100.0,42,155200.0,283200.0,6.5
"2024-09-15",Mid-Market,4493900.0,1539700.0,3343200.0,464100.0,23,107000.0,-163100.0,-3.5
"2024-09-22",Mid-Market,4268500.0,1658200.0,2352100.0,774500.0,19,129300.0,-225400.0,-5.0
"2024-09-29",Mid-Market,3971700.0,1627000.0,2851200.0,404400.0,30,113500.0,-296800.0,-7.0
"2024-10-06",Mid-Market,4263600.0,2093800.0,3096900.0,734000.0,32,266500.0,291900.0,7.3
"2024-10-13",Mid-Market,4077300.0,1509700.0,2336300.0,421300.0,23,116500.0,-186300.0,-4.4
"2024-10-20",Mid-Market,3947800.0,1234600.0,2492900.0,360400.0,22,179400.0,-129500.0,-3.2
"2024-10-27",Mid-Market,4203200.0,1898300.0,2674000.0,523300.0,39,135600.0,255400.0,6.5
"2024-11-03",Mid-Market,3880400.0,2103500.0,2820300.0,936500.0,20,107800.0,-322800.0,-7.7
"2024-11-10",Mid-Market,4476800.0,1929200.0,3315000.0,843600.0,18,179100.0,596400.0,15.4
"2024-11-17",Mid-Market,4041000.0,1432300.0,2785600.0,664200.0,40,109200.0,-435800.0,-9.7
"2024-11-24",Mid-Market,5160900.0,1819200.0,2958400.0,717800.0,31,184300.0,1119900.0,27.7
"2024-12-01",Mid-Market,4800500.0,2266000.0,3548200.0,628100.0,43,228600.0,-360400.0,-7.0
"2024-12-08",Mid-Market,5098500.0,1759500.0,3091800.0,515600.0,19,154500.0,298000.0,6.2
"2024-12-15",Mid-Market,4160300.0,1335000.0,2406800.0,518300.0,8,520000.0,-938200.0,-18.4
"2024-12-22",Mid-Market,3853600.0,1199000.0,2539300.0,276700.0,34,226700.0,-306700.0,-7.4
"2024-12-29",Mid-Market,4656200.0,1534600.0,3420700.0,730400.0,10,273900.0,802600.0,20.8
